,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
0," Aamir Khan
",https://www.imdb.com/name/nm0451148,"
    Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his characters. This is also one of the reasons why his films ...            
See full bio »
            
","
March 14, 
     
1965","https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    Member of the jury of the Locarno film festival 2002        ","

            Mr. Perfect
                
See more

                »
        ","

Pisces
","

    In 2013, received Honorary Doctorate by Maulana Azad National Urdu University (MANUU) for his distinguished contribution to the Indian cinema and entertainment industry.                    
See more

                    »
        ","

    Short, yet muscular stature                    
See more

                    »
        ","

    A star needs to have style. Unfortunately I have very little. But Salman [Khan] has it all.                    
See more

                    »
        ","

5' 4"" (1.62 m)        ","

            Master Aamir | Aamir Hussain | Khan
        "
1," Akshay Kumar
",https://www.imdb.com/name/nm0474774,"
    Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do adventurous movies. He does his own stunts in his ...            
See full bio »
            
","
September 9, 
     
1967","https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",,"

            Akki
                
See more

                »
        ","

Virgo
","

    Starred in the shelved movie, Creative Combines ""Sitaron Se Aage"" (Do Rang) (1993). Starring Akshay Kumar, Manisha Koirala (Replaced Pratibha Sinha), Sheeba, Farheen, Laxmikant Berde, Aruna Irani, Paresh Rawal, Music by Lamikant-Pyarelal, Directed by Poltoo Sen. 11 Reels.                    
See more

                    »
        ","

    Heavy, yet raspy voice                    
See more

                    »
        ","

    Controversies are a package deal in this industry. You just have to understand that and accept it.                    
See more

                    »
        ","

5' 10"" (1.78 m)        ","

            The Akshay Kumar | Rajiv Hari Om Bhatia
        "
2," Ajay Devgn
",https://www.imdb.com/name/nm0222426,"
    Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale (1996) and Ishq (1997). In 1999, Devgn received his...            
See full bio »
            
","
April 2, 
     
1969","https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Weston Music Cassettte signed Rahul Rawail to direct a film starring Madhuri Dixit and Ajay Devgan in 1994. The film got shelved.                    
See more

                    »
        ","

    Intense Eyes                    
See more

                    »
        ","

    For 45 years, I have resisted the temptation to get my ears pierced. I have shown such dare-devilry on screen and I'm not afraid of anything. But I was petrified of this gun-piercing. However, now the deed is done.        ","

5' 7½"" (1.71 m)        ","

            Ajay Devgan
        "
3," Amjad Khan
",https://www.imdb.com/name/nm0451166,"
    Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India. He was an actor and director, known for Sholay (1975), Yaarana (1981) and Maa Kasam (1985). He was married to Shaila Khan. He died on July 27, 1992 in Bombay, Maharashtra, India.            
See full bio »
            
","
November 12, 
     
1940","https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR110,0,214,317_AL__QL50.jpg",,"

            Gabber Singh
        ","

Scorpio
","

    Was linked to Vidya Sinha and Komila Wirk.                    
See more

                    »
        ",,,"

5' 10"" (1.78 m)        ","

            Amjad | Amzad Khan | Late Amjad Khan
        "
4," Amitabh Bachchan
",https://www.imdb.com/name/nm0000821,"
    Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But they did use one of his other assets, his deep ...            
See full bio »
            
","
October 11, 
     
1942","https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","

    TV Commercial for Ahmadabad - Gujarattourism.com                    
See more

                    »
        ","

            One Man Industry
                
See more

                »
        ","

Libra
","

    When Puneet Issar punched him on the sets of Coolie, the actor first bowed to the entire crew for a perfect shot before crumpling in pain outside minutes later.                    
See more

                    »
        ","

    His baritone voice        ","

    The amount of things I have been through and the remarkable ways in which the body has reacted is just phenomenal. No wonder I became religious, because you don't know why something's happening to you and you don't know how you bounced back.                    
See more

                    »
        ","

6' (1.83 m)        ","

            Amitabh | Mr. Amitabh Bachchan | Padmashree Amitabh Bachchan | Shri Amitabh Bachchan | Shri Amitabh Bachchanji
        "
5," Amol Palekar
",https://www.imdb.com/name/nm0657505,"
    Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India. He is an actor and director, known for Kairee (1999), Bangarwadi (1995) and Gol Maal (1979).            
See full bio »
            
","
November 24, 
     
1944","https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR31,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Starred in the shelved film ""Yun Bhi Hota Hain"" (1984) Starring Amol Palekar, Moushami Chatterjee,Prema Narayan, Ambika (South),Produced by Abdul Patia.                    
See more

                    »
        ",,,"

5' 6"" (1.68 m)        ",
6," Abhay Deol
",https://www.imdb.com/name/nm1867717,"
    Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year acting course, Abhay answered to his Bollywood ...            
See full bio »
            
","
March 15, 
     
1976","https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Nephew of Bollywood director Guddu Dhanoa.                    
See more

                    »
        ","

    Has done majority of work with debutant directors; rather unusual and daring in the context of ""star driven"" Hindi film industry        ",,"

5' 10¾"" (1.8 m)        ",
7," Akshaye Khanna
",https://www.imdb.com/name/nm0451379,"
    Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna. After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay Putra, which went without much success at box ...            
See full bio »
            
","
March 28, 
     
1975","https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Aries
","

    Was signed for Khakee but later replaced by Tusshar Kapoor.                    
See more

                    »
        ",,,"

5' 8½"" (1.74 m)        ",
8," Arshad Warsi
",https://www.imdb.com/name/nm0451174,"
    Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days. Financial circumstances forced Warsi to start work as a door-to-door cosmetics salesman at age 17. Later he worked in...            
See full bio »
            
","
April 19, 
     
1968","https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","

    TV Commercial for Pepsi Indian with Amitabh Bachchan ",,"

Aries
","

    Was engaged to actress Anjali Jathar in 1993.                    
See more

                    »
        ",,,"

5' 4"" (1.62 m)        ","

            Arshad Warsi Khan
        "
9," Anushka Shetty
",https://www.imdb.com/name/nm2011932,"
    Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur. This tall and gorgeous beauty debuted in the 2005 Telugu film Super starring Nagarjuna which was super hit at box office. Later her performance in Vikramarkudu make her noticeable. But in Arundhati in which she had played the role...            
See full bio »
            
","
November 7, 
     
1981","https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Scorpio
","

    Fluently speaks Kannada, Hindi, Tamil, Telugu and English languages.        ","

    Her Innocent Looking Face                    
See more

                    »
        ",,"

5' 7"" (1.7 m)        ","

            Anushka
        "
